,Team,League,ATT,MID,DEF,OVR,season
0,Arsenal,FA Premier League,92,91,89,90,2004/2005
1,Man United,FA Premier League,91,90,85,88,2004/2005
2,Chelsea,FA Premier League,87,88,86,87,2004/2005
3,Liverpool,FA Premier League,88,86,82,84,2004/2005
4,Newcastle,FA Premier League,85,83,76,81,2004/2005
5,Middlesbrough,FA Premier League,82,79,79,80,2004/2005
6,Fulham,FA Premier League,78,76,77,78,2004/2005
7,Tottenham,FA Premier League,81,76,75,77,2004/2005
8,Man City,FA Premier League,81,76,74,77,2004/2005
9,Birmingham,FA Premier League,80,76,77,77,2004/2005
10,Aston Villa,FA Premier League,79,74,77,77,2004/2005
12,Bolton,FA Premier League,74,79,73,76,2004/2005
13,Blackburn,FA Premier League,72,78,75,76,2004/2005
14,Southampton,FA Premier League,80,72,73,75,2004/2005
15,Portsmouth,FA Premier League,78,73,75,75,2004/2005
16,Everton,FA Premier League,72,75,74,75,2004/2005
17,West Brom,FA Premier League,78,72,71,73,2004/2005
18,Norwich,FA Premier League,74,72,73,73,2004/2005
19,Crystal Palace,FA Premier League,69,68,72,69,2004/2005
20,Chelsea,FA Premier League,87,88,85,87,2005/2006
21,Man United,FA Premier League,92,85,84,86,2005/2006
22,Arsenal,FA Premier League,90,84,86,86,2005/2006
23,Liverpool,FA Premier League,90,87,81,85,2005/2006
24,Newcastle,FA Premier League,86,80,76,80,2005/2006
25,Middlesbrough,FA Premier League,83,79,79,80,2005/2006
26,Everton,FA Premier League,80,80,80,80,2005/2006
27,Tottenham,FA Premier League,83,79,76,79,2005/2006
28,Aston Villa,FA Premier League,84,75,77,78,2005/2006
29,Man City,FA Premier League,80,77,78,78,2005/2006
30,Birmingham,FA Premier League,76,76,75,76,2005/2006
31,Bolton,FA Premier League,79,77,70,75,2005/2006
32,Fulham,FA Premier League,73,78,74,75,2005/2006
33,Blackburn,FA Premier League,78,72,73,74,2005/2006
34,Portsmouth,FA Premier League,76,71,75,74,2005/2006
35,West Brom,FA Premier League,74,73,71,73,2005/2006
37,West Ham,FA Premier League,70,73,71,73,2005/2006
38,Wigan,FA Premier League,75,68,72,70,2005/2006
39,Sunderland,FA Premier League,72,66,65,68,2005/2006
40,Chelsea,F.A. Premier League,86,86,83,84,2006/2007
41,Man United,F.A. Premier League,88,84,82,82,2006/2007
42,Arsenal,F.A. Premier League,84,82,81,82,2006/2007
43,Liverpool,F.A. Premier League,82,83,81,81,2006/2007
44,Newcastle,F.A. Premier League,83,79,74,79,2006/2007
45,Tottenham,F.A. Premier League,83,78,80,79,2006/2007
46,Everton,F.A. Premier League,80,77,76,77,2006/2007
47,Blackburn,F.A. Premier League,79,78,76,77,2006/2007
48,Man City,F.A. Premier League,79,76,75,77,2006/2007
49,Middlesbrough,F.A. Premier League,81,78,74,76,2006/2007
50,West Ham,F.A. Premier League,80,78,76,76,2006/2007
51,Bolton,F.A. Premier League,79,76,75,76,2006/2007
53,Aston Villa,F.A. Premier League,79,74,73,75,2006/2007
54,Fulham,F.A. Premier League,78,76,76,75,2006/2007
55,Portsmouth,F.A. Premier League,76,76,75,75,2006/2007
56,Wigan,F.A. Premier League,76,70,73,74,2006/2007
57,Sheffield United,F.A. Premier League,79,70,71,72,2006/2007
58,Reading,F.A. Premier League,73,75,66,71,2006/2007
59,Watford,F.A. Premier League,71,70,69,68,2006/2007
60,Man United,Barclays Premier League,89,86,83,83,2007/2008
61,Chelsea,Barclays Premier League,87,84,83,83,2007/2008
62,Liverpool,Barclays Premier League,85,83,82,81,2007/2008
63,Arsenal,Barclays Premier League,84,83,81,80,2007/2008
64,Tottenham,Barclays Premier League,84,80,79,78,2007/2008
65,Newcastle,Barclays Premier League,82,76,76,77,2007/2008
66,Blackburn,Barclays Premier League,82,79,76,76,2007/2008
67,Everton,Barclays Premier League,79,80,79,76,2007/2008
68,Portsmouth,Barclays Premier League,79,77,77,76,2007/2008
69,West Ham,Barclays Premier League,77,79,76,76,2007/2008
70,Middlesbrough,Barclays Premier League,79,78,76,75,2007/2008
71,Man City,Barclays Premier League,78,75,76,75,2007/2008
72,Aston Villa,Barclays Premier League,76,80,72,75,2007/2008
73,Bolton,Barclays Premier League,76,76,75,75,2007/2008
74,Reading,Barclays Premier League,79,74,74,74,2007/2008
75,Fulham,Barclays Premier League,76,76,73,74,2007/2008
76,Birmingham,Barclays Premier League,77,73,72,72,2007/2008
77,Wigan,Barclays Premier League,73,73,72,72,2007/2008
78,Sunderland,Barclays Premier League,72,72,70,71,2007/2008
80,Chelsea,Barclays Premier League,87,85,84,84,2008/2009
81,Man United,Barclays Premier League,86,85,84,84,2008/2009
82,Arsenal,Barclays Premier League,85,83,83,81,2008/2009
83,Liverpool,Barclays Premier League,85,83,80,81,2008/2009
84,Man City,Barclays Premier League,82,79,78,79,2008/2009
85,Tottenham,Barclays Premier League,80,80,79,79,2008/2009
86,Everton,Barclays Premier League,82,75,78,78,2008/2009
87,Aston Villa,Barclays Premier League,81,81,77,78,2008/2009
88,Newcastle,Barclays Premier League,81,76,76,76,2008/2009
89,Portsmouth,Barclays Premier League,78,79,76,76,2008/2009
90,Blackburn,Barclays Premier League,78,76,76,76,2008/2009
91,West Ham,Barclays Premier League,76,76,76,76,2008/2009
92,Sunderland,Barclays Premier League,78,74,72,75,2008/2009
93,Middlesbrough,Barclays Premier League,80,75,73,74,2008/2009
94,Fulham,Barclays Premier League,80,74,72,74,2008/2009
95,Bolton,Barclays Premier League,75,75,72,74,2008/2009
96,Wigan,Barclays Premier League,75,74,71,73,2008/2009
97,Hull,Barclays Premier League,70,68,68,71,2008/2009
98,West Brom,Barclays Premier League,68,71,69,71,2008/2009
99,Stoke,Barclays Premier League,75,68,67,70,2008/2009
100,Chelsea,Barclays Premier League,85,84,84,83,2009/2010
101,Liverpool,Barclays Premier League,88,82,81,82,2009/2010
102,Man United,Barclays Premier League,86,81,84,82,2009/2010
103,Arsenal,Barclays Premier League,85,82,82,81,2009/2010
104,Man City,Barclays Premier League,84,80,80,81,2009/2010
105,Aston Villa,Barclays Premier League,82,79,76,79,2009/2010
106,Tottenham,Barclays Premier League,81,78,78,79,2009/2010
107,Everton,Barclays Premier League,80,77,79,79,2009/2010
108,Fulham,Barclays Premier League,76,76,77,76,2009/2010
109,West Ham,Barclays Premier League,76,76,75,76,2009/2010
110,Sunderland,Barclays Premier League,78,77,74,75,2009/2010
111,Bolton,Barclays Premier League,77,75,73,75,2009/2010
112,Blackburn,Barclays Premier League,75,75,75,75,2009/2010
113,Portsmouth,Barclays Premier League,75,74,74,75,2009/2010
114,Wigan,Barclays Premier League,74,74,74,74,2009/2010
115,Birmingham,Barclays Premier League,73,75,71,74,2009/2010
116,Stoke,Barclays Premier League,76,72,75,73,2009/2010
117,Hull,Barclays Premier League,70,72,73,73,2009/2010
118,Burnley,Barclays Premier League,75,72,70,72,2009/2010
